trialnum,filename,facehouse,girlboy
0,visual\face_house\faces\Estelle_3.jpg,1,0
1,visual\face_house\houses\house9.3.jpg,0,0
2,visual\face_house\houses\house4.3.jpg,0,0
3,visual\face_house\houses\house6.3.jpg,0,0
4,visual\face_house\houses\house12.3.jpg,0,0
5,visual\face_house\houses\house3.3.jpg,0,0
6,visual\face_house\houses\house2.3.jpg,0,0
7,visual\face_house\houses\house7.3.jpg,0,0
8,visual\face_house\faces\Don_3.jpg,1,1
9,visual\face_house\faces\Jodi_3.jpg,1,0
10,visual\face_house\houses\house7.3.jpg,0,0
11,visual\face_house\faces\Don_3.jpg,1,1
12,visual\face_house\houses\house6.3.jpg,0,1
13,visual\face_house\faces\Frank_3.jpg,1,1
14,visual\face_house\faces\Wallace_3.jpg,1,1
15,visual\face_house\houses\house10.3.jpg,0,1
16,visual\face_house\houses\house2.3.jpg,0,1
17,visual\face_house\houses\house5.3.jpg,0,1
18,visual\face_house\houses\house4.3.jpg,0,1
19,visual\face_house\houses\house8.3.jpg,0,1
20,visual\face_house\houses\house6.3.jpg,0,1
21,visual\face_house\houses\house1.3.jpg,0,1
22,visual\face_house\houses\house10.3.jpg,0,1
23,visual\face_house\faces\Tim_3.jpg,1,1
24,visual\face_house\faces\Blake_3.jpg,1,1
25,visual\face_house\houses\house4.3.jpg,0,1
26,visual\face_house\houses\house12.3.jpg,0,1
27,visual\face_house\houses\house8.3.jpg,0,1
28,visual\face_house\faces\Joan_3.jpg,1,0
29,visual\face_house\houses\house9.3.jpg,0,0
30,visual\face_house\faces\Wallace_3.jpg,1,1
31,visual\face_house\houses\house11.3.jpg,0,1
32,visual\face_house\faces\Janie_3.jpg,1,0
33,visual\face_house\faces\Joe_3.jpg,1,1
34,visual\face_house\faces\Wallace_3.jpg,1,1
35,visual\face_house\houses\house4.3.jpg,0,1
36,visual\face_house\houses\house7.3.jpg,0,1
37,visual\face_house\faces\Don_3.jpg,1,1
38,visual\face_house\houses\house8.3.jpg,0,1
39,visual\face_house\houses\house1.3.jpg,0,1
40,visual\face_house\houses\house4.3.jpg,0,1
41,visual\face_house\houses\house1.3.jpg,0,1
42,visual\face_house\houses\house10.3.jpg,0,1
43,visual\face_house\houses\house12.3.jpg,0,1
44,visual\face_house\houses\house4.3.jpg,0,1
45,visual\face_house\faces\Don_3.jpg,1,1
46,visual\face_house\faces\Tom_3.jpg,1,1
47,visual\face_house\houses\house12.3.jpg,0,1
