timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
17515.950,27.344,26.855,27.832,20.020,6.836,0
17515.954,12.207,32.227,30.273,22.461,0.977,0
17515.958,23.926,31.250,28.809,32.715,-9.766,0
17515.962,35.645,28.320,25.879,41.992,27.832,0
17515.965,36.621,28.809,22.461,44.922,39.062,0
17515.969,22.461,31.738,24.902,25.879,10.742,0
17515.973,14.648,34.180,27.832,25.391,24.414,0
17515.977,42.480,32.715,26.855,36.133,81.055,0
17515.981,44.434,29.297,21.973,27.344,79.590,0
17515.985,23.438,28.809,27.344,29.785,42.480,0
17515.989,21.484,31.738,32.227,32.227,-1.953,0
17515.993,20.508,32.715,28.809,33.691,-17.090,0
17515.997,24.902,30.762,26.855,41.504,24.414,0
17516.001,41.016,32.715,26.367,40.039,27.344,0
17516.005,44.434,37.109,31.250,38.086,0.488,0
17516.008,41.504,33.691,30.273,35.645,-7.324,0
17516.012,45.410,30.762,24.414,34.180,88.379,0
17516.016,40.527,28.320,23.438,33.203,135.742,0
17516.020,20.020,26.855,32.227,43.457,27.832,0
17516.024,27.832,30.762,34.180,53.223,-21.973,0
17516.028,39.551,29.785,26.855,46.875,17.090,0
17516.032,24.414,26.367,24.414,41.992,10.254,0
17516.036,17.578,24.902,33.691,32.715,34.180,0
17516.040,26.855,22.461,39.551,27.344,24.414,0
17516.044,34.668,23.926,35.156,40.039,23.926,0
17516.047,30.762,25.879,31.250,38.574,71.289,0
17516.051,21.973,25.391,35.645,28.809,39.551,0
17516.055,12.695,25.391,40.527,35.156,51.758,0
17516.059,12.207,26.367,35.645,38.086,15.625,0
17516.063,29.297,23.926,32.715,32.715,-36.133,0
17516.067,50.781,26.367,34.180,24.902,-26.367,0
17516.071,31.738,34.180,34.668,25.391,9.277,0
17516.075,20.508,34.668,34.180,31.738,26.367,0
17516.079,29.297,32.715,32.227,43.945,-43.457,0
17516.083,29.785,31.250,32.227,37.109,-30.762,0
17516.087,27.344,33.203,37.598,24.902,-1.465,0
17516.090,20.508,35.156,37.109,36.621,36.621,0
17516.094,27.832,31.738,34.668,39.062,41.992,0
17516.098,31.250,28.809,32.715,27.832,19.531,0
17516.102,17.090,30.273,33.691,24.414,27.832,0
17516.106,28.320,26.855,34.668,31.738,15.137,0
17516.110,34.180,25.879,29.785,34.180,29.297,0
17516.114,23.438,28.320,28.320,32.715,91.797,0
17516.118,17.090,31.250,31.250,30.762,53.711,0
17516.122,19.043,35.156,33.691,36.133,24.414,0
17516.126,25.879,35.156,33.203,34.668,24.902,0
17516.130,36.133,34.180,27.344,22.949,2.441,0
17516.133,33.203,36.133,26.367,19.043,22.949,0
17516.137,23.926,38.086,32.227,22.949,18.555,0
17516.141,32.227,33.691,32.715,32.227,-12.207,0
17516.145,20.996,31.738,30.273,44.434,11.230,0
17516.149,14.648,29.297,27.832,40.527,85.449,0
17516.153,12.695,31.250,29.785,21.973,48.828,0
17516.157,8.789,35.645,27.344,21.484,4.883,0
17516.161,13.672,28.320,20.996,17.090,21.484,0
17516.165,20.508,25.391,19.531,8.301,42.480,0
17516.169,18.555,36.133,25.391,16.113,41.504,0
17516.172,16.113,41.504,28.320,21.484,50.293,2
17516.176,24.414,38.086,27.344,27.344,57.617,0
17516.180,33.203,36.133,22.461,38.086,63.477,0
17516.184,45.410,35.156,23.438,36.133,-18.066,0
17516.188,24.902,35.645,27.832,34.180,-33.691,0
17516.192,12.695,35.645,25.391,36.133,67.383,0
17516.196,36.621,31.738,22.949,38.574,41.504,0
17516.200,27.344,29.785,28.320,41.992,37.598,0
17516.204,12.695,34.180,36.133,40.527,88.867,0
17516.208,21.484,31.250,32.227,30.762,60.059,0
17516.212,26.855,27.344,25.391,27.344,66.895,0
17516.215,36.133,30.762,24.414,37.109,85.938,0
17516.219,30.273,35.156,31.738,33.203,9.277,0
17516.223,28.809,33.691,33.691,32.715,-18.066,0
17516.227,34.668,29.297,31.738,44.434,36.133,0
17516.231,35.156,26.855,29.297,41.016,37.109,0
17516.235,26.855,25.391,30.762,32.715,54.688,0
17516.239,23.926,25.879,34.180,30.273,21.973,0
17516.243,21.973,26.855,34.180,30.762,-22.949,0
17516.247,13.672,23.438,30.762,32.227,35.645,0
17516.251,17.578,21.484,33.203,31.738,58.594,0
17516.255,17.578,23.926,33.203,23.438,20.020,0
17516.258,5.859,21.484,27.832,20.996,14.648,0
