timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1528295662.518,9.277,31.738,31.250,26.855,-25.391,2
1528295662.522,56.641,26.367,27.832,45.410,45.410,0
1528295662.526,49.316,26.367,32.715,41.504,39.062,0
1528295662.530,7.324,27.344,34.668,19.531,47.852,0
1528295662.534,0.000,28.809,33.691,13.184,1.953,0
1528295662.538,39.551,27.832,34.180,35.156,-59.082,0
1528295662.542,59.570,25.391,33.203,43.945,10.254,0
1528295662.545,20.996,28.320,32.227,22.461,34.668,0
1528295662.549,5.371,32.715,33.691,17.090,-29.297,0
1528295662.553,45.410,29.785,30.762,37.598,-11.230,0
1528295662.557,76.660,28.809,26.855,55.664,12.207,0
1528295662.561,48.828,32.715,32.715,36.133,-11.230,0
1528295662.579,17.578,34.180,36.133,10.742,-25.391,0
1528295662.583,33.691,32.715,26.855,23.438,23.926,0
1528295662.587,64.941,28.809,21.484,48.340,62.500,0
1528295662.591,57.129,27.344,31.738,39.551,20.508,0
1528295662.595,20.020,27.832,38.086,18.066,28.320,0
1528295662.599,9.277,30.762,33.203,25.879,100.098,0
1528295662.603,43.945,31.738,28.809,53.223,133.301,0
1528295662.606,53.223,30.762,29.785,44.434,95.703,0
1528295662.610,14.160,33.691,32.227,12.207,54.688,0
1528295662.614,-6.836,33.203,28.809,6.348,18.555,0
1528295662.618,33.691,31.250,24.414,36.621,-24.414,0
1528295662.622,69.336,35.156,30.762,51.758,-38.574,0
1528295662.618,39.062,37.598,32.715,27.344,4.883,0
1528295662.622,0.488,33.203,31.250,14.648,18.555,0
1528295662.626,18.555,26.855,30.273,31.738,-13.184,0
1528295662.630,55.664,29.297,27.344,48.340,-1.953,0
1528295662.634,34.180,33.203,30.762,36.621,4.883,0
1528295662.638,8.301,33.203,34.668,16.113,-26.367,0
1528295662.642,27.832,35.156,31.738,20.508,-33.203,0
1528295662.645,59.082,32.715,28.809,45.898,32.227,0
1528295662.649,52.246,32.715,30.273,43.945,89.355,0
1528295662.653,14.648,39.062,35.156,19.531,36.621,0
1528295662.657,15.137,37.109,36.133,16.113,-5.859,0
1528295662.661,50.293,25.879,32.227,41.504,6.836,0
1528295662.659,53.223,28.809,31.738,51.758,16.113,0
1528295662.663,22.949,37.109,29.785,26.367,66.895,0
1528295662.667,3.418,37.109,21.973,7.812,13.184,0
1528295662.671,37.109,36.621,22.461,30.273,-44.922,0
1528295662.675,70.801,36.133,25.879,49.805,62.988,0
1528295662.679,31.738,37.598,30.762,24.414,55.664,0
1528295662.683,-0.488,38.086,34.668,3.418,-23.438,0
1528295662.686,33.203,33.203,30.273,18.555,-28.320,0
1528295662.690,60.059,30.762,26.367,45.410,25.879,0
1528295662.694,32.227,29.297,28.320,32.227,65.918,0
1528295662.698,-5.859,26.367,29.785,-1.465,15.137,0
1528295662.702,-0.488,27.832,25.879,9.766,-13.184,0
1528295662.720,35.156,26.367,19.531,36.133,16.602,0
1528295662.724,32.227,25.879,20.508,27.344,43.457,0
1528295662.728,3.418,28.809,24.902,7.324,29.297,0
1528295662.732,-1.465,30.762,24.902,15.625,7.812,0
1528295662.736,38.574,28.320,20.020,34.668,65.918,0
1528295662.740,68.848,26.367,20.996,31.738,64.453,0
1528295662.744,34.180,29.785,28.320,13.184,-20.508,0
1528295662.747,-8.301,28.320,30.762,0.488,-7.812,0
1528295662.751,28.320,20.020,20.996,15.625,40.527,0
1528295662.755,55.664,21.484,20.996,32.227,39.551,0
1528295662.759,15.625,26.855,28.809,19.043,44.922,0
1528295662.763,-12.695,25.391,28.320,7.324,9.277,0
1528295662.759,20.996,24.902,32.227,20.020,15.137,0
1528295662.763,60.059,26.855,33.691,42.480,53.223,0
1528295662.767,32.715,30.762,35.156,37.109,60.547,0
1528295662.771,7.812,30.762,38.574,19.531,-5.371,0
1528295662.775,9.277,31.738,37.598,18.066,-7.324,0
1528295662.779,37.109,32.715,34.180,40.039,-24.414,0
1528295662.783,50.293,29.297,34.180,45.410,-36.133,0
1528295662.786,17.578,31.738,39.551,20.508,38.574,0
1528295662.790,-0.977,35.156,38.086,11.230,28.320,0
1528295662.794,35.156,31.738,33.691,36.133,45.410,0
1528295662.798,57.617,30.762,38.086,45.898,46.875,0
1528295662.802,19.531,30.762,42.480,24.414,35.156,0
1528295662.798,-0.977,29.297,41.504,16.113,-0.977,0
1528295662.802,30.762,28.809,37.598,32.227,1.465,0
1528295662.806,59.570,28.320,34.180,50.781,43.457,0
1528295662.810,45.898,33.203,40.039,40.039,5.371,0
1528295662.814,22.949,34.180,43.945,17.578,24.414,0
1528295662.818,22.949,34.180,38.574,25.391,13.184,0
1528295662.822,42.480,35.156,35.645,50.781,6.348,0
1528295662.825,31.738,36.621,38.574,41.504,49.805,0
1528295662.829,2.930,40.039,44.922,20.020,30.273,0
1528295662.833,11.719,33.691,44.922,23.438,-19.043,0
1528295662.837,51.758,26.367,37.598,42.480,37.598,0
1528295662.841,64.941,29.785,36.133,45.898,68.359,0
1528295662.858,27.832,34.668,41.504,30.762,-13.672,0
1528295662.862,12.207,35.645,42.969,26.855,-9.277,0
1528295662.866,59.082,33.203,34.668,46.387,28.320,0
1528295662.870,73.730,34.180,32.227,49.316,64.453,0
1528295662.874,27.832,36.133,37.598,24.902,25.391,0
1528295662.878,7.812,29.297,41.504,14.160,-15.137,0
1528295662.882,29.297,29.785,39.551,26.855,32.715,0
1528295662.885,55.664,32.715,31.738,48.828,49.805,0
1528295662.889,38.574,30.762,35.645,36.621,41.504,0
1528295662.893,7.324,33.203,42.969,14.160,58.105,0
1528295662.897,22.461,29.785,38.086,26.367,77.148,0
1528295662.901,54.688,25.391,32.715,48.340,79.102,0
1528295662.898,45.898,28.809,36.133,39.062,71.289,0
1528295662.902,13.184,33.203,42.480,17.578,62.500,0
1528295662.906,6.348,31.738,41.992,17.578,5.371,0
1528295662.910,52.246,30.762,34.180,43.945,-57.129,0
1528295662.914,68.848,32.227,37.598,50.781,62.500,0
1528295662.918,16.113,36.133,42.969,24.902,64.453,0
1528295662.922,0.000,37.598,41.016,20.508,-2.441,0
1528295662.925,46.387,33.203,37.598,46.387,95.703,0
1528295662.929,82.031,31.250,33.203,52.246,91.797,0
1528295662.933,41.504,35.645,37.598,30.273,-6.348,0
1528295662.937,3.906,33.691,41.992,12.695,5.859,0
1528295662.941,41.504,27.344,37.598,34.180,36.133,0
1528295662.938,80.078,28.320,33.203,58.105,79.590,0
1528295662.942,59.570,34.668,37.109,39.062,19.043,0
1528295662.946,17.578,41.016,41.016,24.414,-41.504,0
1528295662.950,25.879,39.551,38.574,31.250,1.953,0
1528295662.954,65.918,35.156,34.668,49.316,19.043,0
1528295662.958,63.477,33.691,39.062,49.805,27.832,0
1528295662.962,19.043,31.250,40.527,35.156,23.926,0
1528295662.965,8.301,30.273,33.203,23.926,20.508,0
1528295662.969,48.340,28.809,33.203,37.598,19.531,0
1528295662.973,63.965,25.391,37.598,48.340,23.438,0
1528295662.977,24.902,25.879,41.504,31.738,-8.789,0
1528295662.981,0.000,27.832,41.992,23.438,-31.738,0
1528295662.998,30.273,28.809,36.621,41.504,11.230,0
1528295663.002,70.801,30.273,33.203,52.734,27.832,0
1528295663.006,40.527,31.738,38.574,36.133,17.090,0
1528295663.010,8.301,31.738,42.969,22.461,-6.836,0
1528295663.014,28.320,26.855,41.992,40.527,30.762,0
1528295663.018,62.500,24.414,39.551,61.035,64.453,0
1528295663.022,50.781,27.344,40.039,50.293,68.359,0
1528295663.025,2.930,27.344,42.969,35.156,23.438,0
1528295663.029,8.789,30.273,41.016,33.203,-13.672,0
1528295663.033,56.152,33.203,34.180,43.945,97.168,0
1528295663.037,58.105,35.156,33.691,39.551,114.258,0
1528295663.041,18.066,39.062,35.156,19.043,70.801,0
1528295663.039,7.324,35.645,32.715,11.230,38.086,0
1528295663.043,52.734,29.785,30.273,35.645,46.875,0
1528295663.047,74.219,30.273,30.762,51.270,118.652,0
1528295663.051,32.227,31.738,34.180,36.133,15.625,0
1528295663.055,-1.465,32.715,35.156,21.484,-5.859,0
1528295663.059,21.973,29.297,30.762,35.156,73.730,0
1528295663.063,64.453,31.250,27.832,47.363,45.898,0
1528295663.066,35.156,38.086,33.203,26.855,17.578,0
1528295663.070,0.488,37.598,39.551,7.812,-33.203,0
1528295663.074,22.461,37.109,33.691,15.137,-61.523,0
1528295663.078,55.664,37.109,25.391,28.809,19.531,0
1528295663.082,47.852,38.574,32.715,29.785,35.645,0
1528295663.079,13.672,40.039,41.504,18.555,20.020,0
1528295663.083,14.648,40.527,38.574,19.531,-5.371,0
1528295663.087,51.270,37.598,33.691,47.363,16.113,0
1528295663.091,56.152,34.668,33.691,48.828,39.062,0
1528295663.095,19.531,39.062,36.621,22.949,-40.527,0
1528295663.099,9.277,37.598,36.621,20.020,-19.531,0
1528295663.103,53.711,32.227,31.738,45.410,46.387,0
1528295663.106,72.754,32.227,30.762,50.781,74.219,0
1528295663.110,25.879,34.668,35.156,30.273,71.289,0
1528295663.114,3.418,31.250,35.645,14.648,30.762,0
1528295663.118,33.691,29.785,27.344,29.297,30.762,0
1528295663.122,54.688,28.809,23.926,57.617,76.172,0
1528295663.138,33.691,30.273,30.273,45.898,67.871,0
1528295663.142,8.789,30.762,32.715,15.625,76.172,0
1528295663.146,30.762,29.785,28.809,17.578,58.105,0
1528295663.150,69.824,28.809,24.902,41.504,26.367,0
1528295663.154,55.664,26.855,29.785,44.922,55.176,0
1528295663.158,21.973,27.344,34.180,22.949,24.414,0
1528295663.162,10.742,30.762,34.180,9.277,0.977,0
1528295663.165,42.969,28.320,28.320,33.691,18.555,0
1528295663.169,60.547,28.809,21.973,43.457,7.812,0
1528295663.173,18.555,32.227,26.855,15.625,-41.992,0
1528295663.177,-9.277,33.691,30.762,4.883,-8.301,0
1528295663.181,33.691,30.273,26.367,26.855,12.207,0
1528295663.178,71.289,25.391,25.391,43.457,7.324,0
1528295663.182,36.133,28.809,31.738,22.949,0.977,0
1528295663.186,3.906,28.320,35.156,8.789,-10.742,0
1528295663.190,26.367,24.414,31.738,32.715,-9.766,0
1528295663.194,58.594,27.344,27.832,48.340,38.086,0
1528295663.198,31.250,31.250,31.250,30.273,69.824,0
1528295663.202,-9.277,30.273,30.762,12.207,39.551,0
1528295663.205,12.695,27.344,26.367,18.555,20.020,0
1528295663.209,58.105,20.508,28.320,53.223,-2.441,0
1528295663.213,44.922,27.832,37.109,45.410,23.926,0
1528295663.217,9.277,40.039,41.016,7.812,34.668,0
1528295663.221,10.254,36.133,36.621,15.137,15.137,0
1528295663.218,41.016,32.227,32.227,38.574,-17.578,0
1528295663.222,60.547,36.133,34.180,38.574,17.090,0
1528295663.226,24.902,39.551,37.109,20.020,-0.488,0
1528295663.230,4.883,36.621,33.203,11.230,-3.906,0
1528295663.234,37.109,30.762,29.785,29.785,13.184,0
1528295663.238,55.176,32.227,32.715,48.828,-15.137,0
1528295663.242,33.203,38.574,37.109,36.133,-31.250,0
1528295663.245,5.859,41.504,36.133,14.648,-17.090,0
1528295663.249,21.973,40.039,31.738,30.273,-16.113,0
1528295663.253,52.734,35.645,26.855,45.898,-4.883,0
1528295663.257,26.855,36.621,25.879,19.043,63.965,0
1528295663.261,-13.184,39.551,27.832,-9.766,25.391,0
1528295663.279,-13.672,40.527,32.227,-9.766,56.152,0
1528295663.283,27.344,45.898,28.809,12.207,131.348,0
1528295663.287,7.324,49.805,22.949,-12.695,122.559,0
1528295663.291,-62.012,51.758,26.855,-56.152,62.012,0
1528295663.295,-78.125,56.152,27.832,-64.453,26.855,0
1528295663.299,-42.480,54.199,20.996,-48.340,97.656,0
1528295663.303,-40.039,55.176,23.438,-51.758,71.289,0
1528295663.306,-84.473,58.594,30.273,-89.355,-25.391,0
1528295663.310,-121.094,58.594,28.320,-105.957,8.789,0
1528295663.314,-91.309,57.129,23.438,-93.262,5.859,0
1528295663.318,-66.406,58.594,21.484,-92.285,35.645,0
1528295663.322,-104.980,58.105,27.344,-110.352,68.359,0
1528295663.319,-126.953,57.617,35.156,-121.094,25.391,0
1528295663.323,-99.121,54.688,32.715,-100.098,62.012,0
1528295663.327,-63.477,46.875,30.762,-72.754,146.484,0
1528295663.331,-72.266,46.387,34.180,-74.707,109.863,0
1528295663.335,-92.285,46.875,37.109,-83.984,-6.348,0
1528295663.339,-70.312,41.016,36.133,-65.430,-25.879,0
1528295663.343,-5.371,34.180,31.738,-27.344,39.062,0
1528295663.346,11.719,34.668,32.715,-12.207,66.895,0
1528295663.350,-26.367,39.062,35.645,-17.090,92.285,0
1528295663.354,-33.691,39.062,36.621,-20.508,48.828,0
1528295663.358,12.695,30.273,32.227,0.977,-11.719,0
1528295663.362,40.527,22.949,28.809,20.996,80.078,0
1528295663.359,15.137,23.438,31.250,13.184,51.758,0
1528295663.363,-1.465,23.926,31.738,18.066,41.504,0
1528295663.367,32.227,20.508,25.391,40.039,44.922,0
1528295663.371,81.055,21.484,20.996,62.500,29.785,0
1528295663.375,62.012,27.832,26.855,49.316,21.484,0
1528295663.379,29.297,31.250,29.297,33.691,6.348,0
1528295663.383,55.664,28.320,25.879,55.664,11.719,0
1528295663.386,85.449,23.926,26.367,74.219,-8.301,0
1528295663.390,72.754,21.484,30.762,72.266,-17.090,0
1528295663.394,46.875,20.020,32.715,58.105,20.996,0
1528295663.398,48.340,20.996,32.715,54.199,7.324,0
1528295663.402,81.543,20.020,29.785,80.566,32.715,0
1528295663.418,90.820,22.461,32.227,85.938,70.801,0
1528295663.422,58.105,25.879,37.598,59.570,-17.090,0
1528295663.426,39.062,23.438,32.715,50.293,-40.039,0
1528295663.430,83.008,21.973,23.926,73.242,38.574,0
1528295663.434,107.910,20.996,24.902,84.961,29.785,0
1528295663.438,58.594,21.973,30.762,66.406,21.973,0
1528295663.442,34.180,21.484,28.809,50.781,56.152,0
1528295663.445,74.707,15.625,24.414,59.570,-10.742,0
1528295663.449,101.562,13.672,24.414,75.195,35.156,0
1528295663.453,76.172,19.531,24.902,74.219,121.582,0
1528295663.457,35.156,24.902,30.273,64.941,52.246,0
1528295663.461,41.992,24.414,31.250,63.965,19.043,0
1528295663.458,95.215,22.949,24.902,76.660,56.152,0
1528295663.462,99.609,25.879,24.414,79.590,12.695,0
1528295663.466,53.223,26.855,26.367,60.059,6.836,0
1528295663.470,44.922,23.926,29.785,48.340,-17.090,0
1528295663.474,89.355,20.508,26.855,73.730,-15.137,0
1528295663.478,94.727,21.973,27.344,85.449,56.152,0
1528295663.482,53.223,27.832,32.715,62.988,36.621,0
1528295663.485,30.762,30.762,32.227,51.270,-11.230,0
1528295663.489,61.035,28.809,28.809,73.242,52.734,0
1528295663.493,93.750,31.250,31.250,87.891,76.172,0
1528295663.497,69.336,33.691,36.621,56.152,24.902,0
1528295663.501,33.203,30.762,37.109,41.504,9.277,0
1528295663.498,52.246,27.832,32.227,56.641,-0.977,0
1528295663.502,90.820,27.344,28.320,71.777,28.320,0
1528295663.506,69.824,26.367,33.691,63.477,34.180,0
1528295663.510,28.809,28.320,36.133,43.457,0.488,0
1528295663.514,30.762,30.273,33.203,46.875,11.719,0
1528295663.518,71.289,29.297,28.809,69.824,35.156,0
1528295663.522,80.078,29.785,30.273,68.848,47.363,0
1528295663.525,40.039,32.227,28.320,39.551,11.230,0
1528295663.529,29.785,29.785,24.902,28.809,-5.859,0
1528295663.533,83.984,24.902,27.344,54.199,17.578,0
1528295663.537,84.961,25.391,31.738,62.988,89.844,0
1528295663.541,41.992,31.250,38.086,46.387,40.527,0
1528295663.558,29.785,31.250,37.109,46.387,3.906,0
1528295663.562,47.363,26.367,30.762,59.082,32.227,0
1528295663.566,69.336,24.902,27.832,71.777,15.625,0
1528295663.570,41.992,27.344,30.762,59.082,46.875,0
1528295663.574,15.625,31.738,33.203,35.156,57.129,0
1528295663.578,33.203,30.762,30.762,46.875,-9.766,0
1528295663.582,67.871,25.391,26.855,62.012,39.551,0
1528295663.585,65.430,28.809,28.320,52.246,58.105,0
1528295663.589,28.809,31.250,31.738,32.715,-75.684,0
1528295663.593,31.250,27.832,30.762,32.715,-50.781,0
1528295663.597,77.637,24.414,31.250,59.570,46.875,0
1528295663.601,89.355,23.926,33.691,65.918,10.254,0
1528295663.598,42.480,26.367,34.668,46.875,25.879,0
1528295663.602,13.672,27.832,31.738,40.039,3.906,0
1528295663.606,54.688,28.809,26.367,59.082,31.250,0
1528295663.610,78.125,28.809,25.391,64.453,101.562,0
1528295663.614,42.480,31.738,29.785,40.039,63.965,0
1528295663.618,16.113,31.738,33.203,27.832,20.996,0
