timestamps,TP9,AF7,AF8,TP10,Marker0
1594888583.664,-15.137,90.820,-270.020,-53.223,0
1594888583.668,-19.531,-114.746,-397.461,-69.336,0
1594888583.672,-18.066,-75.684,-403.809,-73.242,0
1594888583.676,-18.066,215.332,-234.863,-75.684,0
1594888583.680,-20.508,1.953,-321.777,-83.984,0
1594888583.684,-15.625,-178.711,-430.664,-82.520,0
1594888583.688,-17.578,-176.270,-571.289,-81.055,0
1594888583.691,-20.996,-223.633,-632.812,-71.777,0
1594888583.695,-16.602,207.031,-427.246,-66.895,0
1594888583.699,-17.090,412.598,-298.340,-72.754,0
1594888583.703,-24.414,80.078,-304.199,-74.219,0
1594888583.707,-17.578,-149.902,-355.469,-72.266,0
1594888583.700,-1.465,65.918,-244.629,-75.684,0
1594888583.704,4.883,150.391,-196.289,-77.637,0
1594888583.708,-2.441,-179.199,-345.215,-81.543,0
1594888583.712,-10.742,-136.719,-355.957,-80.566,0
1594888583.716,-16.602,-246.582,-447.266,-65.918,0
1594888583.720,-24.902,-112.793,-426.758,-67.383,0
1594888583.724,-34.180,86.426,-361.816,-68.359,0
1594888583.727,-37.109,82.031,-297.363,-51.758,0
1594888583.731,-33.203,208.496,-155.762,-41.992,0
1594888583.735,-34.668,-398.438,-469.238,-34.180,0
1594888583.739,-38.086,-281.738,-532.715,-27.832,0
1594888583.743,-35.645,307.129,-270.996,-31.738,0
1594888583.756,-26.855,204.590,-196.777,-35.156,0
1594888583.760,-28.320,-18.555,-250.488,-33.691,0
1594888583.764,-33.203,-203.125,-401.855,-37.598,0
1594888583.768,-36.621,-27.344,-327.637,-42.969,0
1594888583.772,-33.691,5.859,-324.707,-46.387,0
1594888583.776,-20.996,-57.617,-340.332,-52.246,0
1594888583.780,-21.973,-309.570,-518.066,-56.641,0
1594888583.783,-25.391,-345.215,-647.949,-54.199,0
1594888583.787,-17.578,208.008,-371.582,-53.223,0
1594888583.791,-5.371,328.125,-234.863,-55.664,0
1594888583.795,2.441,154.785,-222.168,-53.223,0
1594888583.799,-2.930,-325.195,-471.680,-48.340,0
1594888583.794,-9.766,-178.223,-458.008,-47.852,0
1594888583.798,-7.812,286.621,-206.543,-57.617,0
1594888583.802,0.488,-86.914,-347.656,-57.129,0
1594888583.806,-4.395,-154.297,-392.090,-48.340,0
1594888583.810,-9.766,-246.094,-483.398,-39.062,0
1594888583.814,-5.371,-119.141,-458.008,-40.527,0
1594888583.818,-2.930,257.812,-233.887,-54.199,0
1594888583.821,-12.207,114.746,-290.527,-57.129,0
1594888583.825,-15.137,-21.973,-317.383,-50.293,0
1594888583.829,-15.625,-355.469,-480.957,-48.828,0
1594888583.833,-13.184,-108.887,-458.496,-57.129,0
1594888583.837,-14.160,207.031,-305.664,-65.430,0
1594888583.835,-16.602,104.004,-334.473,-66.895,0
1594888583.839,-11.230,-22.949,-348.633,-63.477,0
1594888583.843,-12.207,-167.969,-411.133,-53.711,0
1594888583.847,-15.137,201.172,-307.617,-54.199,0
1594888583.851,-21.973,232.422,-335.938,-59.082,0
1594888583.855,-28.320,79.590,-384.766,-65.918,0
1594888583.859,-23.926,65.430,-370.605,-66.406,0
1594888583.862,-25.391,159.180,-396.484,-61.523,0
1594888583.866,-31.738,424.805,-287.598,-71.289,0
1594888583.870,-34.180,334.473,-270.508,-62.012,0
1594888583.874,-30.273,206.543,-263.672,-52.734,0
1594888583.878,-21.484,42.480,-285.156,-52.246,0
1594888583.889,-20.996,57.617,-304.688,-46.387,0
1594888583.893,-20.996,78.125,-356.445,-54.688,0
1594888583.897,-15.625,-20.508,-403.809,-65.918,0
1594888583.901,-7.324,155.273,-315.430,-60.059,0
1594888583.905,-8.301,-42.480,-436.035,-50.781,0
1594888583.909,-13.672,-171.387,-588.867,-54.199,0
1594888583.913,-9.277,352.051,-408.691,-59.082,0
1594888583.916,0.000,534.180,-208.984,-51.758,0
1594888583.920,-3.906,229.004,-226.074,-60.547,0
1594888583.924,-17.090,-183.594,-454.590,-67.383,0
1594888583.928,-16.113,135.254,-351.562,-65.430,0
1594888583.932,0.000,377.930,-224.121,-63.477,0
1594888583.944,5.859,244.629,-195.801,-60.059,0
1594888583.948,-5.371,-78.125,-359.375,-62.012,0
1594888583.952,-23.926,-119.629,-453.125,-56.641,0
1594888583.956,-33.203,222.168,-255.859,-51.270,0
1594888583.960,-30.762,63.965,-310.059,-56.152,0
1594888583.964,-32.227,31.738,-320.312,-57.617,0
1594888583.968,-34.668,-101.074,-465.332,-54.688,0
1594888583.971,-28.320,-281.250,-631.348,-48.340,0
1594888583.975,-21.973,263.672,-320.801,-49.805,0
1594888583.979,-25.879,400.879,-209.961,-50.293,0
1594888583.983,-22.461,66.895,-349.609,-46.875,0
1594888583.987,-12.695,-86.426,-357.422,-50.781,0
1594888583.981,-5.859,109.863,-218.750,-55.664,0
1594888583.985,-4.883,85.449,-292.480,-56.152,0
1594888583.989,-7.812,-99.609,-383.301,-57.129,0
1594888583.993,-4.883,-69.336,-391.113,-56.641,0
1594888583.997,2.930,-110.352,-443.359,-53.711,0
1594888584.001,-1.953,-11.230,-416.992,-60.059,0
1594888584.005,-8.301,130.371,-345.215,-67.383,0
1594888584.008,-12.695,62.500,-375.000,-66.895,1
1594888584.012,-8.789,159.180,-272.949,-68.359,0
1594888584.016,-4.883,-288.086,-438.477,-63.477,0
1594888584.020,-9.766,-178.223,-479.492,-62.012,0
1594888584.024,-10.254,333.984,-271.484,-65.918,0
1594888584.038,-7.324,195.312,-235.352,-59.082,0
1594888584.042,-3.418,-22.949,-280.273,-45.898,0
1594888584.046,-7.812,-105.469,-348.633,-46.387,0
1594888584.050,-14.648,46.387,-284.180,-49.805,0
1594888584.054,-20.508,-109.863,-377.441,-48.828,0
1594888584.058,-18.555,-113.770,-401.855,-44.434,0
1594888584.062,-14.648,-125.488,-467.773,-44.434,0
1594888584.065,-25.879,-73.730,-503.418,-47.363,0
1594888584.069,-24.414,275.391,-275.879,-50.293,0
1594888584.073,-9.766,144.531,-302.734,-54.688,0
1594888584.077,-7.324,52.734,-304.688,-51.758,0
1594888584.081,-24.902,-167.480,-383.789,-47.852,0
1594888584.075,-33.691,-167.969,-449.707,-51.758,0
1594888584.079,-29.297,181.152,-257.324,-54.199,0
1594888584.083,-24.902,54.199,-232.422,-54.199,0
1594888584.087,-28.320,-62.988,-312.500,-52.734,0
1594888584.091,-29.297,-267.090,-467.285,-51.758,0
1594888584.095,-18.066,-113.281,-427.734,-54.688,0
1594888584.099,-9.277,287.109,-145.020,-58.594,0
1594888584.102,-10.742,202.148,-50.293,-57.617,0
1594888584.106,-15.137,-39.551,-193.359,-51.758,0
1594888584.110,-9.277,-414.062,-441.895,-50.293,0
1594888584.114,-2.930,25.391,-273.926,-53.223,0
1594888584.118,-3.418,297.852,-122.070,-51.270,0
1594888584.116,-7.324,-140.137,-335.938,-52.734,0
1594888584.120,-10.254,-238.770,-399.902,-58.594,0
1594888584.124,-13.184,-20.508,-319.824,-63.477,0
1594888584.128,-8.301,288.574,-124.023,-61.035,0
1594888584.132,-1.465,29.785,-206.055,-60.547,0
1594888584.136,-10.742,-163.086,-336.426,-70.801,0
1594888584.140,-18.066,-227.051,-425.781,-67.871,0
1594888584.143,-7.812,-160.156,-446.777,-56.152,0
1594888584.147,-12.695,316.895,-187.012,-52.246,0
1594888584.151,-30.762,205.078,-187.500,-48.340,0
1594888584.155,-24.414,28.809,-210.938,-46.387,0
1594888584.159,-8.301,-55.664,-228.027,-44.922,0
1594888584.169,-5.859,-54.688,-268.066,-44.434,0
1594888584.173,-10.742,8.789,-297.852,-48.340,0
1594888584.177,-11.719,-142.578,-351.074,-44.434,0
1594888584.181,-3.906,-88.867,-335.938,-42.480,0
1594888584.185,-4.883,-343.262,-562.500,-43.945,0
1594888584.189,-15.625,-348.145,-647.949,-52.734,0
1594888584.193,-19.531,192.871,-406.738,-61.035,0
1594888584.196,-20.996,259.766,-334.961,-62.988,0
1594888584.200,-16.113,120.117,-363.770,-63.965,0
1594888584.204,-16.113,-240.234,-459.473,-56.641,0
1594888584.208,-20.508,11.719,-367.676,-57.129,0
1594888584.212,-20.996,270.020,-316.895,-62.988,0
1594888584.225,-10.254,115.234,-280.762,-54.199,0
1594888584.229,-5.371,-67.383,-297.852,-50.293,0
1594888584.233,-12.695,-256.836,-437.500,-53.711,0
1594888584.237,-2.441,21.484,-340.332,-46.875,0
1594888584.241,2.441,70.312,-274.414,-46.875,0
1594888584.245,-2.441,-50.293,-292.969,-49.805,0
1594888584.249,-3.906,-194.824,-438.965,-49.805,0
1594888584.252,-3.906,-358.887,-562.500,-46.387,0
1594888584.256,4.883,220.703,-270.996,-40.039,0
1594888584.260,1.465,402.344,-160.156,-43.945,0
1594888584.264,-13.672,12.207,-276.855,-54.688,0
1594888584.268,-15.625,-226.074,-366.699,-56.152,0
1594888584.263,-9.277,12.695,-276.855,-48.828,0
1594888584.267,-12.207,277.832,-127.930,-51.270,0
1594888584.271,-17.578,-51.270,-255.371,-52.246,0
1594888584.275,-19.043,-95.215,-374.023,-50.293,0
1594888584.279,-21.484,-146.484,-467.285,-53.711,0
1594888584.283,-16.113,-2.930,-395.508,-56.152,0
1594888584.287,-6.836,414.551,-184.570,-58.105,0
1594888584.290,-7.324,192.871,-293.945,-56.641,0
1594888584.294,-3.906,45.898,-315.918,-51.758,0
1594888584.298,8.301,-280.273,-459.961,-45.410,0
