timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1601067925213.0,-23356.947265625,18041.27734375,12258.2333984375,-38051.49609375,-19708.001953125,-352.91168212890625,748.13525390625,-52828.19140625,0.0
1601067925217.0,-23358.154296875,18040.94140625,12255.953125,-38050.9609375,-19712.494140625,-364.4451904296875,741.9661254882812,-52834.359375,0.0
1601067925221.0,-23353.259765625,18051.40234375,12259.5068359375,-38047.9453125,-19710.953125,-367.9991149902344,741.6979370117188,-52834.76171875,0.0
1601067925225.0,-23347.0234375,18050.53125,12259.373046875,-38046.6015625,-19708.337890625,-361.6959228515625,741.1614990234375,-52831.34375,0.0
1601067925229.0,-23344.2734375,18049.123046875,12257.763671875,-38044.9921875,-19706.662109375,-363.50640869140625,741.0274047851562,-52826.8515625,0.0
1601067925233.0,-23345.748046875,18038.9296875,12254.4111328125,-38045.53125,-19702.1015625,-370.07781982421875,736.6687622070312,-52826.046875,0.0
1601067925237.0,-23350.7109375,18039.6015625,12253.0693359375,-38050.2890625,-19707.66796875,-369.5413818359375,735.8641357421875,-52829.33203125,0.0
1601067925241.0,-23356.611328125,18044.83203125,12250.052734375,-38055.1171875,-19716.98828125,-370.9495544433594,728.488037109375,-52840.6640625,0.0
1601067925245.0,-23352.923828125,18045.234375,12251.9296875,-38053.10546875,-19710.1484375,-375.91162109375,729.0244750976562,-52838.65234375,0.0
1601067925249.0,-23348.498046875,18052.54296875,12260.4462890625,-38046.73828125,-19704.783203125,-370.88250732421875,738.1439819335938,-52830.26953125,0.0
1601067925253.0,-23352.7890625,18060.923828125,12263.1953125,-38048.6796875,-19707.869140625,-369.2731628417969,737.2052612304688,-52831.20703125,0.0
1601067925257.0,-23354.33203125,18064.27734375,12264.7373046875,-38053.64453125,-19714.373046875,-351.63763427734375,738.680419921875,-52834.76171875,0.0
1601067925261.0,-23351.44921875,18054.353515625,12265.408203125,-38053.64453125,-19712.763671875,-357.4043884277344,739.2169189453125,-52834.09375,0.0
1601067925265.0,-23350.375,18051.73828125,12264.0,-38051.6328125,-19705.119140625,-353.7834167480469,740.5579833984375,-52829.53125,0.0
1601067925269.0,-23350.978515625,18053.4140625,12266.3466796875,-38050.625,-19699.955078125,-348.0837097167969,746.1906127929688,-52824.16796875,0.0
1601067925273.0,-23351.314453125,18052.54296875,12264.40234375,-38052.234375,-19699.486328125,-354.5210266113281,746.72705078125,-52823.96484375,0.0
1601067925277.0,-23349.5703125,18061.86328125,12267.9560546875,-38048.61328125,-19699.28515625,-353.2469787597656,746.0565185546875,-52823.83203125,0.0
1601067925281.0,-23345.345703125,18054.21875,12269.296875,-38043.98828125,-19693.98828125,-353.6492919921875,745.8553466796875,-52820.27734375,0.0
1601067925285.0,-23346.21875,18047.37890625,12271.041015625,-38043.31640625,-19698.94921875,-359.2819519042969,740.490966796875,-52822.15625,0.0
1601067925289.0,-23349.302734375,18052.341796875,12272.1806640625,-38044.9921875,-19702.4375,-360.623046875,743.4413452148438,-52821.484375,0.0
1601067925293.0,-23345.681640625,18054.15234375,12274.9970703125,-38039.5625,-19694.859375,-353.7834167480469,749.7445678710938,-52816.859375,0.0
1601067925297.0,-23351.515625,18055.158203125,12272.716796875,-38043.18359375,-19699.75390625,-357.2702941894531,744.5142822265625,-52825.10546875,0.0
1601067925301.0,-23354.064453125,18052.54296875,12269.3642578125,-38048.078125,-19709.544921875,-367.6638488769531,734.0536499023438,-52832.68359375,0.0
1601067925305.0,-23352.7890625,18066.69140625,12266.4140625,-38047.7421875,-19711.556640625,-362.2994384765625,737.13818359375,-52829.3984375,0.0
1601067925309.0,-23356.41015625,18067.4296875,12259.775390625,-38050.42578125,-19713.298828125,-361.6288757324219,737.13818359375,-52832.4140625,0.0
1601067925313.0,-23356.611328125,18060.58984375,12260.2451171875,-38049.62109375,-19713.568359375,-356.06329345703125,738.680419921875,-52832.01171875,0.0
1601067925317.0,-23361.439453125,18062.130859375,12263.798828125,-38052.4375,-19717.5234375,-354.4539489746094,741.228515625,-52831.41015625,0.0
1601067925321.0,-23362.84765625,18065.283203125,12263.798828125,-38051.69921875,-19716.853515625,-354.92333984375,743.0390625,-52829.734375,0.0
1601067925325.0,-23365.6640625,18057.37109375,12258.166015625,-38054.24609375,-19722.75390625,-361.8300476074219,738.5463256835938,-52834.0234375,0.0
1601067925329.0,-23364.189453125,18051.3359375,12253.6064453125,-38055.85546875,-19716.18359375,-364.3781433105469,737.54052734375,-52831.27734375,0.0
1601067925333.0,-23365.6640625,18056.701171875,12252.1982421875,-38056.7265625,-19716.853515625,-368.5355529785156,737.74169921875,-52831.41015625,0.0
1601067925337.0,-23365.060546875,18061.662109375,12251.1923828125,-38056.52734375,-19716.65234375,-373.02825927734375,734.388916015625,-52833.21875,0.0
1601067925341.0,-23362.177734375,18058.7109375,12248.912109375,-38054.71484375,-19713.5,-374.4364318847656,732.9807739257812,-52833.62109375,0.0
1601067925345.0,-23358.7578125,18053.884765625,12246.431640625,-38050.15625,-19712.763671875,-367.4626770019531,738.4122314453125,-52829.734375,0.0
1601067925349.0,-23359.361328125,18053.75,12244.6875,-38050.08984375,-19714.640625,-371.4189453125,735.4617919921875,-52831.74609375,0.0
1601067925353.0,-23359.494140625,18061.595703125,12247.236328125,-38047.9453125,-19714.640625,-369.8096008300781,735.193603515625,-52831.41015625,0.0
1601067925357.0,-23358.154296875,18063.0703125,12249.650390625,-38046.1328125,-19709.27734375,-366.5909729003906,739.5521850585938,-52827.1171875,0.0
1601067925361.0,-23357.484375,18056.56640625,12251.3935546875,-38047.609375,-19707.599609375,-366.1886291503906,738.4793090820312,-52829.53125,0.0
1601067925365.0,-23360.03125,18054.822265625,12252.734375,-38050.42578125,-19710.21484375,-370.5472106933594,737.0040893554688,-52832.34765625,0.0
1601067925369.0,-23361.505859375,18056.431640625,12252.935546875,-38049.95703125,-19709.8125,-361.8970947265625,740.8932495117188,-52831.20703125,0.0
1601067925373.0,-23359.16015625,18060.857421875,12257.4287109375,-38047.20703125,-19706.59375,-362.1653137207031,745.3189086914062,-52830.26953125,0.0
1601067925377.0,-23357.6171875,18056.365234375,12261.6533203125,-38044.79296875,-19704.91796875,-365.51806640625,752.0914916992188,-52825.44140625,0.0
1601067925381.0,-23356.611328125,18048.384765625,12262.994140625,-38043.3828125,-19704.8515625,-370.3460388183594,746.0565185546875,-52826.515625,0.0
1601067925385.0,-23350.443359375,18056.029296875,12265.005859375,-38038.01953125,-19695.931640625,-363.90875244140625,749.1410522460938,-52819.875,0.0
1601067925389.0,-23352.72265625,18062.19921875,12263.060546875,-38040.56640625,-19707.265625,-367.8650207519531,741.0274047851562,-52826.984375,0.0
1601067925393.0,-23354.466796875,18057.705078125,12260.78125,-38043.05078125,-19714.439453125,-368.870849609375,738.3451538085938,-52830.875,0.0
1601067925397.0,-23352.052734375,18054.48828125,12264.3349609375,-38039.16015625,-19700.291015625,-370.4131164550781,742.033203125,-52822.4921875,0.0
1601067925401.0,-23353.52734375,18046.171875,12259.7080078125,-38041.91015625,-19704.1796875,-375.3081359863281,740.3568115234375,-52826.6484375,0.0
1601067925405.0,-23353.9296875,18039.466796875,12256.8916015625,-38044.12109375,-19706.9296875,-373.02825927734375,744.5142822265625,-52827.1171875,0.0
1601067925409.0,-23352.923828125,18044.49609375,12263.9326171875,-38044.25390625,-19708.271484375,-372.15655517578125,745.7212524414062,-52827.85546875,0.0
1601067925413.0,-23353.4609375,18044.630859375,12264.267578125,-38046.66796875,-19706.59375,-376.64923095703125,739.283935546875,-52829.265625,0.0
1601067925417.0,-23358.82421875,18035.310546875,12258.76953125,-38051.49609375,-19708.94140625,-380.00201416015625,734.0536499023438,-52831.74609375,0.0
1601067925421.0,-23357.818359375,18034.7734375,12262.0556640625,-38049.21875,-19708.13671875,-365.4510192871094,739.0157470703125,-52827.3203125,0.0
1601067925425.0,-23355.337890625,18026.390625,12256.7578125,-38047.80859375,-19706.52734375,-369.20611572265625,737.13818359375,-52826.91796875,0.0
