trialnum,filename,facehouse,girlboy
0,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
1,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,0
2,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,0
3,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
4,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
5,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
6,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,0
7,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
8,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
9,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
10,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
11,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
12,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
13,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
14,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
15,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
16,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
17,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
18,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
19,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
20,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
21,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
22,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
23,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
24,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
25,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
26,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
27,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
28,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
29,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,0
30,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
31,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
32,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
33,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
34,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
35,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
36,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
37,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
38,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
39,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
40,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
41,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
42,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
43,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
44,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
45,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
46,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
47,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
48,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
49,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
50,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
51,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,0
52,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
53,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
54,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
55,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
56,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
57,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
58,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
59,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
60,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
61,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
62,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
63,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
64,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
65,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
66,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
67,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
68,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
69,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
70,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
71,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
72,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
73,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
74,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
75,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
76,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
77,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
78,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
79,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
80,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
81,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
82,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
83,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
84,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
85,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
86,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,0
87,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,0
88,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
89,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
90,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
91,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
92,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
93,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
94,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,0
95,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
96,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
97,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
98,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
99,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
100,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
101,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
102,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,0
103,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
104,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
105,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
106,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
107,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
108,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
109,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
110,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
111,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
112,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
113,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
114,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
115,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
116,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
117,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
118,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
119,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
120,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
121,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
122,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
123,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
124,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
125,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
126,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
127,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
128,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
129,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
130,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
131,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
132,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
133,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
134,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
135,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
136,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
137,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
138,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
139,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
140,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
141,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
142,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
143,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
144,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
145,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
146,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,0
147,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
148,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
149,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
150,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
151,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
152,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
153,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
154,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
155,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
156,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
157,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
158,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
159,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
160,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,0
161,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
162,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
163,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
164,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,1
165,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,1
166,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
167,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
168,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
169,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
170,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
171,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
172,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
173,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
174,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
175,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
176,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
177,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
178,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
179,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
180,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
181,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
182,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
183,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
184,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
185,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
186,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
187,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
188,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,0
189,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
190,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
191,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
192,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
193,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
194,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
195,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
196,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
197,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
198,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
199,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
200,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
201,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
202,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
203,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
204,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
205,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,0
206,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
207,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
208,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
209,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
210,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
211,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
212,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
213,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
214,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,0
215,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
216,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
217,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
218,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
219,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
220,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
221,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
222,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
223,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
224,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
225,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
226,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
227,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
228,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
